"Jul.Day","YYYY/MM/DD","Wdy","RUB/USD"
2458191,"2018/03/13","Tue",56.931
2458192,"2018/03/14","Wed",57.148
2458193,"2018/03/15","Thu",57.410
2458194,"2018/03/16","Fri",57.580
2458197,"2018/03/19","Mon",57.897
2458198,"2018/03/20","Tue",57.633
2458199,"2018/03/21","Wed",57.311
2458200,"2018/03/22","Thu",57.115
2458201,"2018/03/23","Fri",57.138
2458204,"2018/03/26","Mon",57.220
2458205,"2018/03/27","Tue",57.400
2458206,"2018/03/28","Wed",57.727
2458207,"2018/03/29","Thu",57.434
2458211,"2018/04/02","Mon",57.548
2458212,"2018/04/03","Tue",57.634
2458213,"2018/04/04","Wed",57.620
2458214,"2018/04/05","Thu",57.679
2458215,"2018/04/06","Fri",57.992
2458218,"2018/04/09","Mon",60.270
2458219,"2018/04/10","Tue",62.964
2458220,"2018/04/11","Wed",63.459
2458221,"2018/04/12","Thu",61.897
2458222,"2018/04/13","Fri",62.024
2458225,"2018/04/16","Mon",62.057
2458226,"2018/04/17","Tue",61.620
2458227,"2018/04/18","Wed",61.233
2458228,"2018/04/19","Thu",60.970
2458229,"2018/04/20","Fri",61.369
2458232,"2018/04/23","Mon",61.846
2458233,"2018/04/24","Tue",61.555
2458234,"2018/04/25","Wed",62.350
2458235,"2018/04/26","Thu",62.772
2458236,"2018/04/27","Fri",62.231
2458239,"2018/04/30","Mon",62.922
2458240,"2018/05/01","Tue",63.416
2458241,"2018/05/02","Wed",63.903
2458242,"2018/05/03","Thu",63.235
2458243,"2018/05/04","Fri",62.798
2458246,"2018/05/07","Mon",62.751
2458247,"2018/05/08","Tue",63.389
2458248,"2018/05/09","Wed",63.050
2458249,"2018/05/10","Thu",61.805
2458250,"2018/05/11","Fri",61.794
